50.038208435,	19.958589876,	244.703
50.038179218,	19.958584429,	244.637
50.038205701,	19.958630508,	244.401
50.038164889,	19.958643381,	244.161
50.038135602,	19.958645163,	244.043
50.038133035,	19.958642825,	244.051
50.038125738,	19.958639791,	244.046
50.038104996,	19.958612424,	244.169
50.038094997,	19.95858624,	244.321
50.038063386,	19.958516082,	244.712
50.038059663,	19.958498919,	244.823
50.038054668,	19.958478969,	244.934
50.038061939,	19.958410488,	245.467
50.038066361,	19.958395401,	245.592
50.038061157,	19.95836825,	245.769
50.038069989,	19.958316322,	245.81
50.037998318,	19.958469764,	243.879
50.038065984,	19.958341822,	245.976
50.038091198,	19.958334984,	246.116
50.038094297,	19.958336592,	246.116
50.038115083,	19.958359624,	246.025
50.038136981,	19.958432516,	245.579
50.038141246,	19.958448733,	245.478
50.038177351,	19.958590175,	244.589
50.038160517,	19.958602744,	244.438
50.038139364,	19.958619965,	244.238
50.038122988,	19.958633171,	244.084
50.038108769,	19.95859201,	244.329
50.038096259,	19.958597933,	244.241
50.038091063,	19.958572432,	244.406
50.038051104,	19.958818891,	242.476
50.038032298,	19.958822609,	242.334
50.038006023,	19.958819517,	242.188
50.037985154,	19.958801972,	242.134
50.037951791,	19.958765281,	242.018
50.037956764,	19.958630103,	242.514
50.037942278,	19.958561043,	242.509
50.037952639,	19.958493052,	242.896
50.037997423,	19.958367777,	244.365
50.038040302,	19.958296367,	245.091
50.038109429,	19.95823739,	244.879
50.038072507,	19.958191876,	244.055
50.038068375,	19.958488169,	244.931
50.03806564,	19.958435164,	245.303
50.038054421,	19.958467323,	245.013
50.038041884,	19.95847722,	244.696
50.038032191,	19.958534948,	244.143
50.038026159,	19.958486538,	244.331
50.038033105,	19.958575696,	243.901
50.03803349,	19.958521292,	244.252
50.03803349,	19.958521292,	244.252
50.038028574,	19.958496688,	244.315
50.038028574,	19.958496688,	244.315
50.038024993,	19.95827372,	244.395
50.038022477,	19.958522725,	244.046
50.03802067,	19.958565741,	243.763
50.038119217,	19.958227418,	244.791
50.038154291,	19.958236767,	245.088
50.038179297,	19.958242647,	245.285
50.03822022,	19.958283456,	245.981
50.038241279,	19.95835599,	246.505
50.038262745,	19.958395996,	246.295
50.03826627,	19.958393792,	246.323
50.03822819,	19.958497544,	245.439
50.038201348,	19.958454873,	245.65
50.038172794,	19.958502446,	245.204
50.038191589,	19.958312461,	246.226
50.038163034,	19.958290729,	245.833
50.038195642,	19.95838884,	246.105
50.038201697,	19.958354589,	246.373
50.038212271,	19.958355432,	246.405
50.038183883,	19.958280133,	245.784
50.03794759,	19.95849342,	242.799
50.037938173,	19.958440002,	242.761
50.037939935,	19.958394526,	242.921
50.037941581,	19.958353558,	243.072
50.037960088,	19.958315587,	243.361
50.037983729,	19.958254939,	243.134
50.038018084,	19.958229588,	243.612
50.03800644,	19.958200291,	242.931
50.038045879,	19.958164922,	243.352
50.038076489,	19.958147967,	243.456
50.038138233,	19.958155509,	243.927
50.038157558,	19.958172415,	244.263
50.038184374,	19.958202689,	244.801
50.038204408,	19.958230846,	245.258
50.038225179,	19.958254712,	245.651
50.03825738,	19.958365068,	246.498
50.038254994,	19.958310152,	246.444
50.038286558,	19.958377351,	246.515
50.03829887,	19.958440059,	246.108
50.0383059,	19.958483948,	245.817
50.038297686,	19.95856767,	245.184
50.038284203,	19.958589228,	244.981
50.03792016,	19.958678581,	241.92
50.037890416,	19.958639051,	241.6
50.037876759,	19.95856853,	241.436
50.037891952,	19.958484006,	241.751
50.037896759,	19.95842586,	241.903
50.037907542,	19.958332565,	242.26
50.037951586,	19.958263552,	242.469
50.037961686,	19.95822079,	242.151
50.037974975,	19.958180415,	241.927
50.037993212,	19.958144465,	241.862
50.038031584,	19.958121865,	242.416
50.038110253,	19.958125538,	243.352
50.038062302,	19.958108694,	242.809
50.038174219,	19.958142996,	243.979
50.038208134,	19.958165501,	244.464
50.038235402,	19.958207541,	245.129
50.03823956,	19.958219661,	245.297
50.038284025,	19.958318232,	246.65
50.038295234,	19.958372029,	246.584
50.038308276,	19.958394735,	246.468
50.038316259,	19.958509563,	245.67
50.038316875,	19.958566692,	245.261
50.037908464,	19.958252259,	241.28
50.037933294,	19.958194756,	241.143
50.038274525,	19.958735025,	243.896
50.038268549,	19.958794545,	243.446
50.038302217,	19.958753734,	243.861
50.038387626,	19.958480622,	245.457
50.038378342,	19.958562109,	245.0
50.038358658,	19.958584017,	245.004
50.03834832,	19.958292376,	246.396
50.03836856,	19.958358403,	246.45
50.038361683,	19.958332611,	246.686
50.037822981,	19.958691511,	240.799
50.037791087,	19.958630389,	240.251
50.037775786,	19.95854812,	239.727
50.037782212,	19.958450211,	239.512
50.037779305,	19.958414382,	239.325
50.037807968,	19.95831047,	239.505
50.037814577,	19.9582768,	239.29
50.037824292,	19.958195779,	238.604
50.03777971,	19.958502827,	239.646
50.037808182,	19.95864733,	240.525
50.03783787,	19.958709723,	240.99
50.037857318,	19.958784409,	241.233
50.037821328,	19.958230741,	238.932
50.037840708,	19.958143651,	238.383
50.037854651,	19.958105723,	238.252
50.037882367,	19.958050691,	238.211
50.037931668,	19.958025874,	238.992
50.037910989,	19.958035646,	238.665
50.03810758,	19.957990455,	241.525
50.038032639,	19.957997949,	240.71
50.038015347,	19.9580056,	240.464
50.03799312,	19.958008687,	240.052
50.037969282,	19.958004775,	239.519
